Model,Accuracy,Precision,Recall,F1,High_F1,High_Recall,Latency_ms
LogisticRegression,0.587,0.6484650864634003,0.587,0.6077377269108111,0.1712846347607053,0.5074626865671642,26446.219959000016
DecisionTree,0.8235,0.8563581540073871,0.8235,0.8366849536259819,0.31932773109243695,0.5671641791044776,289.1537169998628
RandomForest,0.8855,0.8829707691366873,0.8855,0.8835876827514686,0.4094488188976378,0.3880597014925373,11920.930034999856
SVM,0.5885,0.6417929073577864,0.5885,0.603730285037673,0.20812182741116753,0.6119402985074627,68870.45644599994
KNN,0.5335,0.604885483523202,0.5335,0.559739578643807,0.1894150417827298,0.5074626865671642,9.6844490001331
XGBoost,0.897,0.8957075376268513,0.897,0.8956847852532707,0.42424242424242425,0.417910447761194,12026.970829999982
